Total Population,Female Population,Male Population,Employment in Industry(%),Employment in Agriculture(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
1002335230.0,484031612.0,518303618.0,15.83207,61.08086,7.279,415867753863.874,1.2757318640552,-3553714782.43084,374.947411556112,52.4880731033173,61.7732902454048,1997,India
983281218.0,474932057.0,508349160.0,15.70382,61.43129,7.181,392897054348.071,10.224877767642,-3684987380.56607,359.481085908426,53.767409699754,60.8251557989438,1996,India
964279129.0,465846665.0,498432465.0,15.5855,61.75559,7.014,360281952716.797,2.68906951254095,-4029621483.34539,358.629560258791,54.4841170038941,59.9879419310204,1995,India
945261958.0,456726553.0,488535405.0,15.42478,62.17806,6.83,327275583539.559,3.6067482618906,-4166865725.83342,341.35405246045,55.5571874605853,58.0145500336475,1994,India
926351297.0,447615320.0,478735976.0,15.19625,62.70322,6.798,279296022987.919,7.43791649194196,-3851512707.12243,320.914971418235,56.9833633428903,56.9568336076519,1993,India
907574049.0,438527953.0,469046096.0,15.06357,63.11409,6.815,288208430383.964,1.93427669700384,-4409097621.094,305.013128465951,57.2305674845727,56.0702824473676,1992,India
888941756.0,429478264.0,459463492.0,14.91631,63.50056,6.737,270105341879.226,-2.96977776955586,-4109941024.36518,291.662528225303,57.6047933357271,55.0634924018219,1991,India
870452165.0,420468106.0,449984059.0,19.38876535714286,54.867122142857134,7.818178571428571,320979026420.035,5.51537359741697,-4203693901.99738,272.946647217541,58.652858348278,53.7639597347536,1990,India
852012673.0,411461378.0,440551295.0,19.38876535714286,54.867122142857134,7.818178571428571,296042354984.876,4.38955707045019,-3439480507.00979,258.041936425516,44.59958342035659,52.8142022603434,1989,India
833729681.0,402535292.0,431194389.0,19.38876535714286,54.867122142857134,7.818178571428571,296588994812.354,5.96360994271137,-3105680161.91535,241.102127681118,44.59958342035659,51.2490485647204,1988,India
815716125.0,393755601.0,421960524.0,19.38876535714286,54.867122142857134,7.818178571428571,279033584092.223,4.29821912716777,-2019508809.80838,221.291444986453,44.59958342035659,49.6834491458036,1987,India
797878993.0,385067312.0,412811682.0,19.38876535714286,54.867122142857134,7.818178571428571,248985994040.59,2.2192799073149,-1411645094.43554,209.044230344839,44.59958342035659,48.253001768131,1986,India
780242084.0,376475662.0,403766421.0,19.38876535714286,54.867122142857134,7.818178571428571,232511877841.698,0.288581721559765,-1167731707.71569,194.556283380377,44.59958342035659,47.2255730197849,1985,India
762895156.0,368029660.0,394865497.0,19.38876535714286,54.867122142857134,7.818178571428571,212158234167.312,-0.42703826497771,-1197967493.35397,184.248122293753,44.59958342035659,45.1745737322241,1984,India
