Total Population,Female Population,Male Population,Employment in Industry(%),Employment in Agriculture(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
1118650000.0,548913728.0,569736272.0,25.29191678571428,43.16554928571429,3.929642857142857,347768051311.741,8.877031169637172,174536012.145757,487.373173021052,21.69101242931741,74.3173939465768,1989,China
1101630000.0,540705000.0,560925001.0,25.29191678571428,43.16554928571429,3.929642857142857,312353631207.819,8.877031169637172,-123304135.802464,461.797518222997,21.69101242931741,74.2352166827206,1988,China
1084035000.0,532177132.0,551857867.0,25.29191678571428,43.16554928571429,3.929642857142857,272972974764.574,8.877031169637172,-179428587.443897,426.554493166734,21.69101242931741,73.2357105644604,1987,China
1066790000.0,523793161.0,542996840.0,25.29191678571428,43.16554928571429,3.929642857142857,300758100107.246,8.877031169637172,-23018666.666703,391.351624968363,21.69101242931741,72.2246058893174,1986,China
1051040000.0,516103160.0,534936840.0,25.29191678571428,43.16554928571429,3.929642857142857,309488028132.653,8.877031169637172,840056020.408105,362.812071852641,21.69101242931741,71.5674810575362,1985,China
1036825000.0,509130952.0,527694048.0,25.29191678571428,43.16554928571429,3.929642857142857,259946510957.143,8.877031169637172,1274863571.42854,336.411641308803,21.69101242931741,71.163906074896,1984,China
1023310000.0,502474257.0,520835742.0,25.29191678571428,43.16554928571429,3.929642857142857,230686747153.257,8.877031169637172,876574942.528739,317.020257790894,21.69101242931741,69.6064810089214,1983,China
1008630000.0,495239625.0,513390374.0,25.29191678571428,43.16554928571429,3.929642857142857,205089699858.779,8.877031169637172,271595419.847312,299.197921933712,21.69101242931741,68.8731857013966,1982,China
993885000.0,487970075.0,505914924.0,25.29191678571428,43.16554928571429,3.929642857142857,195866382432.54,8.877031169637172,-83333333.3333333,285.817775698396,21.69101242931741,68.3812488660607,1981,China
981235000.0,481713423.0,499521578.0,25.29191678571428,43.16554928571429,3.929642857142857,191149211575.0,8.877031169637172,-12817029776.253046,281.624687256366,21.69101242931741,69.0747294923113,1980,China
969005000.0,475655113.0,493349888.0,25.29191678571428,43.16554928571429,3.929642857142857,178280594413.043,8.877031169637172,-12817029776.253046,267.374265354668,21.69101242931741,69.6596060679882,1979,China
956165000.0,469289080.0,486875919.0,25.29191678571428,43.16554928571429,3.929642857142857,149540752829.268,8.877031169637172,-12817029776.253046,246.555772277797,21.69101242931741,69.6372321217815,1978,China
943455000.0,462982313.0,480472686.0,25.29191678571428,43.16554928571429,3.929642857142857,174938098826.569,8.877031169637172,-12817029776.253046,220.657053065594,21.69101242931741,67.4793439025195,1977,China
930685000.0,456651788.0,474033212.0,25.29191678571428,43.16554928571429,3.929642857142857,153940455341.506,8.877031169637172,-12817029776.253046,204.030364731354,21.69101242931741,65.0788589397339,1976,China
916395000.0,449579425.0,466815575.0,25.29191678571428,43.16554928571429,3.929642857142857,163431551779.761,8.877031169637172,-12817029776.253046,199.039715406566,21.69101242931741,64.4358141733754,1975,China
900350000.0,441653688.0,458696311.0,25.29191678571428,43.16554928571429,3.929642857142857,144182133387.722,8.877031169637172,-12817029776.253046,174.233353695785,21.69101242931741,61.436959485179,1974,China
881940000.0,432591471.0,449348529.0,25.29191678571428,43.16554928571429,3.929642857142857,138544284708.957,8.877031169637172,-12817029776.253046,175.933736988911,21.69101242931741,61.3246620443714,1973,China
862030000.0,422812169.0,439217831.0,25.29191678571428,43.16554928571429,3.929642857142857,113687586299.051,8.877031169637172,-12817029776.253046,163.911928819183,21.69101242931741,60.8595739758203,1972,China
841105000.0,412540476.0,428564524.0,25.29191678571428,43.16554928571429,3.929642857142857,99800958648.1436,8.877031169637172,-12817029776.253046,151.989347346645,21.69101242931741,59.8993427574403,1971,China
818315000.0,401346258.0,416968741.0,25.29191678571428,43.16554928571429,3.929642857142857,92602973434.0726,8.877031169637172,-12817029776.253046,1080.45521311811,21.69101242931741,76.19176385018748,1970,China
796025000.0,390378367.0,405646633.0,25.29191678571428,43.16554928571429,3.929642857142857,79705906247.4612,8.877031169637172,-12817029776.253046,1080.45521311811,21.69101242931741,76.19176385018748,1969,China
774510000.0,379774515.0,394735485.0,25.29191678571428,43.16554928571429,3.929642857142857,70846535055.6503,8.877031169637172,-12817029776.253046,1080.45521311811,21.69101242931741,76.19176385018748,1968,China
754550000.0,369907738.0,384642262.0,25.29191678571428,43.16554928571429,3.929642857142857,72881631326.6715,8.877031169637172,-12817029776.253046,1080.45521311811,21.69101242931741,76.19176385018748,1967,China
735400000.0,360413808.0,374986192.0,25.29191678571428,43.16554928571429,3.929642857142857,76720285969.6157,8.877031169637172,-12817029776.253046,1080.45521311811,21.69101242931741,76.19176385018748,1966,China
715185000.0,350380356.0,364804644.0,25.29191678571428,43.16554928571429,3.929642857142857,70436266146.7219,8.877031169637172,-12817029776.253046,1080.45521311811,21.69101242931741,76.19176385018748,1965,China
698355000.0,341994742.0,356360258.0,25.29191678571428,43.16554928571429,3.929642857142857,59708343488.5043,8.877031169637172,-12817029776.253046,1080.45521311811,21.69101242931741,76.19176385018748,1964,China
682335000.0,334009147.0,348325853.0,25.29191678571428,43.16554928571429,3.929642857142857,50706799902.5104,8.877031169637172,-12817029776.253046,1080.45521311811,21.69101242931741,76.19176385018748,1963,China
665770000.0,325743240.0,340026760.0,25.29191678571428,43.16554928571429,3.929642857142857,47209359005.6057,8.877031169637172,-12817029776.253046,1080.45521311811,21.69101242931741,76.19176385018748,1962,China
660330000.0,322879907.0,337450093.0,25.29191678571428,43.16554928571429,3.929642857142857,50056868957.6732,8.877031169637172,-12817029776.253046,1080.45521311811,21.69101242931741,76.19176385018748,1961,China
667070000.0,325931004.0,341138996.0,25.29191678571428,43.16554928571429,3.929642857142857,59716467625.3148,8.877031169637172,-12817029776.253046,1080.45521311811,21.69101242931741,76.19176385018748,1960,China
